Family,Scientific Name,Common Name,Year Introduced,Year Established,Source,First Voucher,Stage,Pathway,In our data?,
GEKKONIDAE,Hemidactylus mabouia (Moreau de Jonnès 1818),Wood Slave,1980s,1980s,Lawson et al. 1991,CAS 174849–53,Cargo,,Y,
GEKKONIDAE,Hemidactylus platyurus (Schneider 1792),Asian Flat-tailed House Gecko,1984,1980s,Meshaka & Lewis 1994,"KU 222278–80, 223403",Pet Trade,,Y,
GEKKONIDAE,Hemidactylus turcicus,Mediterranean House Gecko,1960s,1960s,King & Krakauer 1966,—,Pet Trade,,Y,
HYLIDAE,Hyla savignyi Audouin 1827,Savigny’s Treefrog,2011,N/A,This Study,UF 166454,1,Cargo,Y,
SALAMANDRIDAE,Hypselotriton orientalis (David 1873),Oriental Fire-bellied Newt,2009,N/A,Krysko et al. 2011a,UF 157033,2,Pet Trade,Y,
IGUANIDAE,Iguana iguana (Linnaeus 1758),Green Iguana,1964,1960s,King & Krakauer 1966,UF 229105,Pet Trade,,Y,
TYPHLOPIDAE,Indotyphlops braminus (Daudin 1803),Brahminy Blind Snake,1979,1970s,Wilson & Porras 1983,AUM 326815,Cargo,Cargo,Y,
MICROHYLIDAE,Kaloula pulchra Gray 1831,Malaysian Painted Frog,2008,N/A,Krysko et al. 2011a,UF 153704,2,Pet Trade,N,
TESTUDINIDAE,Kinixys homeana Bell 1827,Home’s Hinge-backed Tortoise,2011,N/A,This Study,UF 165857,2,Pet Trade,Y,
COLUBRIDAE,Lampropeltis abnorma (Bocourt 1886),Guatemalan Milksnake,2009,N/A,Krysko et al. 2011a,UF 157203,2,Pet Trade,N,
COLUBRIDAE,Lampropeltis alterna (Brown 1901),Gray-banded Kingsnake,2010,N/A,Krysko et al. 2011a,UF 158776,2,Pet Trade,N,
